epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9731,2.70998,4.27884,2.26503,0.00344,0.91176,0.00362,0.00101,2.45261,4.72148,2.50175,6e-05,6e-05,6e-05
2,46.688,2.43802,3.73456,1.94004,0.00378,1,0.05951,0.01344,2.14022,4.25236,2.09337,0.00013769,0.00013769,0.00013769
3,67.2239,1.93552,3.49557,1.71082,0.00378,1,0.47105,0.17326,1.70528,3.7716,1.59007,0.00021274,0.00021274,0.00021274
4,87.8111,1.65731,3.11838,1.46127,0.00378,1,0.80575,0.41213,1.3396,3.28499,1.21244,0.00028515,0.00028515,0.00028515
5,107.996,1.64576,2.90821,1.40509,0.00378,1,0.86394,0.3966,1.23502,3.10426,1.1562,0.00035492,0.00035492,0.00035492
6,127.992,1.69169,2.9809,1.36978,0.00378,1,0.88221,0.45625,1.26918,3.06962,1.13518,0.00042205,0.00042205,0.00042205
7,148.855,1.45199,2.1757,1.23783,0.00378,1,0.9424,0.51444,1.25786,2.95517,1.11317,0.00048654,0.00048654,0.00048654
8,169.188,1.51488,2.33942,1.30743,0.00378,1,0.96966,0.5265,1.25665,2.93002,1.09266,0.00054839,0.00054839,0.00054839
9,189.397,1.20662,1.77822,1.13563,0.95032,0.56282,0.94433,0.53481,1.31587,2.80154,1.09672,0.0006076,0.0006076,0.0006076
10,209.321,1.40304,1.87806,1.29473,0.95123,0.61765,0.91698,0.4136,1.45143,2.87806,1.24335,0.00066417,0.00066417,0.00066417
11,230.283,1.3244,1.73505,1.24955,0.96329,0.77192,0.95527,0.50611,1.32422,2.58754,1.16847,0.0007181,0.0007181,0.0007181
12,250.575,1.26155,2.00023,1.18744,0.93579,0.8574,0.939,0.54303,1.33294,2.48328,1.17868,0.00076939,0.00076939,0.00076939
13,270.717,1.44248,1.81142,1.22259,0.99524,0.88235,0.97031,0.59816,1.33669,2.47763,1.17514,0.00081804,0.00081804,0.00081804
14,289.387,1.27952,1.93705,1.26629,0.9112,0.90554,0.97803,0.58952,1.29682,2.26302,1.13036,0.00086405,0.00086405,0.00086405
15,309.519,1.49854,1.65405,1.32085,0.96467,0.91176,0.98789,0.56841,1.4333,2.20914,1.20379,0.00090742,0.00090742,0.00090742
16,329.257,1.48783,1.81141,1.29355,0.96467,0.91176,0.98789,0.56841,1.4333,2.20914,1.20379,0.00094815,0.00094815,0.00094815
17,349.742,1.33054,1.92823,1.26304,0.96955,0.93669,0.99212,0.63355,1.34548,2.33445,1.20039,0.00098624,0.00098624,0.00098624
18,369.949,1.39574,1.81631,1.35359,0.80604,0.85563,0.87538,0.45617,1.35193,2.61274,1.22404,0.00102169,0.00102169,0.00102169
19,390.118,1.45657,1.90659,1.30339,0.80604,0.85563,0.87538,0.45617,1.35193,2.61274,1.22404,0.0010545,0.0010545,0.0010545
20,410.149,1.27462,1.56723,1.26311,0.98304,0.94118,0.99301,0.62593,1.29092,2.20605,1.23878,0.00108467,0.00108467,0.00108467
21,430.576,1.27434,1.53786,1.22468,0.96965,0.94118,0.98002,0.61452,1.31696,2.13395,1.23242,0.0011122,0.0011122,0.0011122
22,450.796,1.43021,1.83568,1.36553,0.96965,0.94118,0.98002,0.61452,1.31696,2.13395,1.23242,0.00113709,0.00113709,0.00113709
23,470.947,1.14973,1.56193,1.20782,0.93756,0.82353,0.97462,0.6276,1.20901,2.30013,1.16241,0.00115934,0.00115934,0.00115934
24,491.097,1.35682,1.75204,1.23391,0.93756,0.82353,0.97462,0.6276,1.20901,2.30013,1.16241,0.00117895,0.00117895,0.00117895
25,511.202,1.31465,1.62485,1.22528,0.91676,0.82353,0.94083,0.60111,1.25963,2.21009,1.2667,0.00119592,0.00119592,0.00119592
26,531.082,1.46725,1.54231,1.36693,0.91676,0.82353,0.94083,0.60111,1.25963,2.21009,1.2667,0.001175,0.001175,0.001175
27,551.109,1.21272,1.35352,1.18537,0.84823,0.82195,0.85255,0.53063,1.15288,2.10442,1.29239,0.001142,0.001142,0.001142
28,571.317,1.27878,1.44463,1.21047,0.84823,0.82195,0.85255,0.53063,1.15288,2.10442,1.29239,0.001109,0.001109,0.001109
29,591.69,1.30498,1.45842,1.25883,0.74499,0.77351,0.80783,0.51489,1.24424,2.27932,1.42288,0.001076,0.001076,0.001076
30,612.097,1.20644,1.49164,1.25108,0.74499,0.77351,0.80783,0.51489,1.24424,2.27932,1.42288,0.001043,0.001043,0.001043
31,632.121,1.12035,1.29355,1.14676,0.88403,0.64706,0.87301,0.53129,1.33416,2.33998,1.46156,0.00101,0.00101,0.00101
32,651.92,1.14724,1.42158,1.1538,0.88403,0.64706,0.87301,0.53129,1.33416,2.33998,1.46156,0.000977,0.000977,0.000977
33,672.006,1.20818,1.52703,1.2078,0.89343,0.98647,0.96557,0.62865,1.19037,1.79916,1.34686,0.000944,0.000944,0.000944
34,692.421,1.15456,1.31796,1.18665,0.89343,0.98647,0.96557,0.62865,1.19037,1.79916,1.34686,0.000911,0.000911,0.000911
35,712.646,1.17769,1.32612,1.2079,0.9136,1,0.97633,0.68461,1.08017,1.46415,1.28046,0.000878,0.000878,0.000878
36,732.657,1.28944,1.49969,1.28248,0.9136,1,0.97633,0.68461,1.08017,1.46415,1.28046,0.000845,0.000845,0.000845
37,753.081,1.065,1.51286,1.21311,0.93815,0.97059,0.97281,0.67123,1.05511,1.48734,1.23965,0.000812,0.000812,0.000812
38,773.212,1.01241,1.23732,1.0992,0.93815,0.97059,0.97281,0.67123,1.05511,1.48734,1.23965,0.000779,0.000779,0.000779
39,792.863,1.14044,1.30891,1.16312,0.91324,0.92896,0.95077,0.6681,0.9822,1.52787,1.18124,0.000746,0.000746,0.000746
40,812.637,1.01527,1.14634,1.06189,0.91324,0.92896,0.95077,0.6681,0.9822,1.52787,1.18124,0.000713,0.000713,0.000713
41,832.613,1.1695,1.25676,1.17608,0.93766,0.97059,0.97457,0.71167,0.95728,1.49015,1.16308,0.00068,0.00068,0.00068
42,852.592,1.00886,1.16804,1.11213,0.93766,0.97059,0.97457,0.71167,0.95728,1.49015,1.16308,0.000647,0.000647,0.000647
43,872.347,1.09273,1.47649,1.21429,0.96273,1,0.98757,0.74591,0.91847,1.36783,1.14167,0.000614,0.000614,0.000614
44,894.668,1.09263,1.39607,1.163,0.96273,1,0.98757,0.74591,0.91847,1.36783,1.14167,0.000581,0.000581,0.000581
45,914.737,1.0363,1.35711,1.19607,0.96657,1,0.99271,0.74865,0.88466,1.33126,1.13006,0.000548,0.000548,0.000548
46,934.487,0.96171,1.19426,1.06323,0.96657,1,0.99271,0.74865,0.88466,1.33126,1.13006,0.000515,0.000515,0.000515
47,954.417,0.98814,1.13285,1.11989,0.99004,1,0.995,0.7812,0.85349,1.24651,1.10958,0.000482,0.000482,0.000482
48,974.29,1.00063,1.1557,1.11653,0.99004,1,0.995,0.7812,0.85349,1.24651,1.10958,0.000449,0.000449,0.000449
49,994.522,1.02908,1.12957,1.0904,0.99482,1,0.995,0.78793,0.82343,1.18317,1.08515,0.000416,0.000416,0.000416
50,1014.73,0.91072,1.14464,1.09519,0.99482,1,0.995,0.78793,0.82343,1.18317,1.08515,0.000383,0.000383,0.000383
51,1037.56,0.89321,1.4239,1.04222,1,0.99675,0.995,0.79635,0.82546,1.16749,1.07744,0.00035,0.00035,0.00035
52,1057.35,0.97548,1.34414,1.16835,1,0.99675,0.995,0.79635,0.82546,1.16749,1.07744,0.000317,0.000317,0.000317
53,1076.69,0.95951,1.3487,1.12395,0.97046,1,0.99443,0.79656,0.79164,1.19825,1.05297,0.000284,0.000284,0.000284
54,1096.55,0.83869,1.21196,1.05979,0.97046,1,0.99443,0.79656,0.79164,1.19825,1.05297,0.000251,0.000251,0.000251
55,1116.29,0.88402,1.38287,1.10688,0.97137,0.99787,0.99443,0.80835,0.76013,1.23335,1.029,0.000218,0.000218,0.000218
56,1135.94,0.91207,1.24405,1.05729,0.97137,0.99787,0.99443,0.80835,0.76013,1.23335,1.029,0.000185,0.000185,0.000185
57,1155.5,0.80941,1.26638,1.0715,0.97134,0.99695,0.99443,0.79717,0.75954,1.2416,1.02315,0.000152,0.000152,0.000152
58,1175.26,0.89393,1.28119,1.0866,0.97134,0.99695,0.99443,0.79717,0.75954,1.2416,1.02315,0.000119,0.000119,0.000119
59,1194.77,0.83861,1.29388,0.9986,0.97134,0.99685,0.99443,0.81501,0.73444,1.22812,1.00932,8.6e-05,8.6e-05,8.6e-05
60,2168.02,0.83933,1.33012,1.05307,0.97134,0.99685,0.99443,0.81501,0.73444,1.22812,1.00932,5.3e-05,5.3e-05,5.3e-05
